"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.29125","","","","","","","","","","96.82264","","","","","","","","97.80742","",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.15768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.74112","","","","","","","43.01972","",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.40542","","","","","","","","","","","","","66.03011","","","","","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.71298","","","","","","","95.93864","","","96.8453","97.24697","","","","","","98.14115","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","47.17525","47.6514","48.19098","48.72034","49.3128","49.46091","50.22212","51.00671","51.92481","52.47987","53.43742","54.30371","55.22865","56.30249","57.21008","57.90468","58.71621","59.68523","61.15468","61.91185","63.11762","64.17577","65.11593","66.33673","67.52147","70.18776","71.17532","71.75142","69.65244","70.13626","71.08016","69.80552","70.76441","72.59386","73.7217","73.94749","74.61962","75.11764","73.69399","74.47393","74.5966","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.51488","","","","","","","","","","71.2353","","","","","","","","","","","","","","","","","","","","90.03385","","","","","","","","","","93.22714","","","","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.91286","","","","","","","","","","","96.1282","","","","","","","","","","97.19331","","","","","98.6108","","","98.98342","98.95497","99.10833","99.10523","99.12195","98.99389","99.17996","99.12501","","99.00387","",
"Armenia","ARM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.75196","","","","","","","","","","","","99.40016","","","","","","","","","","99.74441","","","","","","99.73607","","",
"American Samoa","ASM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","97.34416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.95","","","","","","","","","","98.95","","","","98.95","","","","",
"Australia","AUS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7918","","","","","","","","99.60191","","99.75984","99.77114","99.77863","99.77577","99.78936","99.78899","99.78806","99.79006","99.79123","","",
"Burundi","BDI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","22.50855","","","","","","","","","","","37.38472","","","","","","","","","","59.30362","","","","","","","","48.08406","","","","","","61.56973","","","68.37533","","",
"Belgium","BEL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","16.48279","","","","","","","","","","","","","27.24525","","","","","","","","","","34.65785","","","","28.70211","","","","","","32.94882","","","","","","42.3624","",
"Burkina Faso","BFA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","8.68515","","","","","","","","","","","","","","","","13.56923","","","","","12.84817","","","","","","","21.82292","","23.55372","22.47258","28.72921","","","","","","","34.5994","","","","41.22445","",
"Bangladesh","BGD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","29.22723","","","","","","","","","","35.3193","","","","","","","","","","47.4855","","","","","","46.6636","","","","58.76918","57.86075","61.01554","61.0933","65.13733","72.75872","72.89297","73.9122","",
"Bulgaria","BGR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.20356","","","","","","","","","","98.35245","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","69.75351","","","","","","","","","","84.01383","","","","","","","","","","86.54874","","","","","","","","","90.9774","","","","","","97.06668","97.40389","97.46419","",
"Bahamas, The","BHS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
